cty	benchmark
32050	716.25
32060	716.25
32070	716.25
32080	716.25
32090	737.77
32100	716.25
32110	716.25
32120	743.47
32130	716.25
32131	716.25
32140	716.25
32150	716.25
32160	716.25
32170	716.25
32180	716.25
32190	716.25
32200	716.25
32210	791.62
32220	726.93
32230	716.25
32240	716.25
32250	716.25
32260	716.25
32270	716.25
32280	791.62
32290	766.4
32300	791.62
33000	791.62
33010	716.25
33020	1080.66
33030	791.62
33040	716.25
33050	791.62
33060	716.25
33070	716.25
33080	716.25
33090	716.25
33200	716.25
33210	716.25
33220	716.25
33230	791.62
33240	791.62
33260	716.25
33270	716.25
33280	716.25
33290	791.62
33300	716.25
33310	716.25
33320	791.62
33330	716.25
33331	1021.89
33340	716.25
33350	791.62
33360	791.62
33370	791.62
33380	791.62
33400	912.06
33420	1059.6
33500	791.62
33510	791.62
33520	791.62
33530	791.62
33540	825.66
33550	791.62
33560	791.62
33570	727.33
33580	907.72
33590	947.58
33600	791.62
33610	1036.99
33620	897.54
33630	716.25
33640	791.62
33650	791.62
33660	791.62
33670	716.25
33680	716.25
33690	716.25
33700	858.43
33710	764.25
33720	791.62
33730	716.25
33740	716.25
33750	716.25
33760	716.25
33770	791.62
33800	884.57
33900	716.25
33910	716.25
34000	791.62
34010	791.62
34020	716.25
34030	791.62
34040	716.25
34050	716.25
34060	716.25
34070	716.25
34080	716.25
34090	791.62
34100	791.62
34110	791.62
34120	791.62
34130	791.62
34140	716.25
34150	716.25
34160	716.25
34170	791.62
34180	791.62
34190	716.25
34200	716.25
34210	716.25
34220	716.25
34230	716.25
34240	716.25
34250	791.62
34251	791.62
34270	716.25
34280	791.62
34290	791.62
34300	716.25
34310	791.62
34320	716.25
34330	791.62
34340	791.62
34350	791.62
34360	716.25
34370	716.25
34380	716.25
34390	716.25
34400	791.62
34410	716.25
34420	716.25
34430	791.62
34440	791.62
34450	716.25
34460	791.62
34470	716.25
34480	716.25
34490	716.25
34500	791.62
34510	716.25
34520	716.25
34530	716.25
34540	791.62
34550	716.25
34560	716.25
34570	791.62
34580	716.25
34590	791.62
34600	716.25
34610	716.25
34620	716.25
34630	716.25
34640	791.62
34650	716.25
34660	716.25
34670	791.62
34680	716.25
34690	716.25
34700	791.62
34710	716.25
34720	791.62
34730	716.25
34740	716.25
34750	791.62
34760	716.25
34770	729.15
34780	791.62
34790	791.62
34800	716.25
34810	716.25
34820	716.25
34830	716.25
34840	791.62
34850	716.25
34860	716.25
34870	716.25
34880	716.25
34890	791.62
34900	716.25
34910	791.62
34920	716.25
34930	766.75
34940	716.25
34950	716.25
34960	716.25
34970	716.25
34980	791.62
34981	716.25
35000	716.25
35010	716.25
35020	716.25
35030	791.31
