PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
360145	0.9248	0	0.02596	1	0.9479	0	0.03115	1	LURBAN	0.453	0.028
360147	0.857	0	0.0532	1	0.8997	0	0.03994	1	OURBAN	0.391	0.03
360148	0.857	0	0	1	0.8997	0	0	1	RURAL	0.663	0.035
360150	0.9248	0.12303	0.0871	1	0.9479	0.08117	0.04901	1	OURBAN	0.273	0.019
360151	0.8824	0.08858	0.052	1	0.9179	0.0907	0.03955	1	OURBAN	0.36	0.028
360152	0.9884	0.25378	0.18005	1	0.992	0.14691	0.07322	1	LURBAN	0.336	0.033
360153	0.857	0	0.12	1	0.8997	0	0	1	OURBAN	0.433	0.023
360155	0.9248	0.00164	0	1	0.9479	0.00059	0.00995	1	LURBAN	0.366	0.026
360156	0.8689	0	0.05827	1	0.9083	0	0	1	RURAL	0.387	0.029
360159	0.9663	0	0.12401	1	0.9768	0	0	1	RURAL	0.412	0.043
360161	0.8904	0.04133	0.09343	1	0.9236	0.01587	0.05065	1	OURBAN	0.289	0.033
360163	0.956	0.08788	0.03011	1	0.9697	0.03675	0.03248	1	LURBAN	0.314	0.023
